"RGB";;;"HSV";;;"CMYK";;;;"RGB256";;
1;0.75;0.5;30;0.5;1;0;0.25;0.5;0;255;191;127
1;0.5;0;30;1;1;0;0.5;1;0;255;127;0
1;1;0.6;60;0.4;1;0;0;0.4;0;255;255;153
1;1;0.2;60;0.8;1;0;0;0.8;0;255;255;50
0.7;1;0.55;100;0.45;1;0.3;0;0.45;0;178;255;140
0.2;1;0;108;1;1;0.8;0;1;0;50;255;0
0.65;0.93;1;192;0.35;1;0.35;0.07;0;0;165;237;255
0.1;0.7;1;200;0.9;1;0.9;0.3;0;0;25;178;255
0.8;0.75;1;252;0.25;1;0.2;0.25;0;0;204;191;255
0.4;0.3;1;248.57;0.7;1;0.6;0.7;0;0;101;76;255
1;0.6;0.75;337.5;0.4;1;0;0.4;0.25;0;255;153;191
0.9;0.1;0.2;352.5;0.89;0.9;0.1;0.9;0.8;0;229;25;50
